disease,description,symptoms
"Overview
    
 - 
      Brain death","Brain death (also known as brain stem death) is when a person on an artificial life support machine no longer has any brain functions. This means they will not regain consciousness or be able to breathe without support.
A person who is brain dead is legally confirmed as dead. They have no chance of recovery because their body is unable to survive without artificial life support.",N/A
"Overview
    
 - 
      Subarachnoid haemorrhage","A subarachnoid haemorrhage is an uncommon type of stroke caused by bleeding on the surface of the brain. It's a very serious condition and can be fatal.
There are usually no warning signs, but a subarachnoid haemorrhage sometimes happens during physical effort or straining, such as coughing, going to the toilet, lifting something heavy or having sex.","There are usually no warning signs, but a subarachnoid haemorrhage sometimes happens during physical effort or straining, such as coughing, going to the toilet, lifting something heavy or having sex.
The main symptoms of a subarachnoid haemorrhage include:
- a sudden severeheadacheunlike anything you’ve experienced before
- a stiff neck
- feeling and being sick
- sensitivity to light (photophobia)
- blurred ordouble vision
- stroke-like symptoms– such as slurred speech and weakness on one side of the body
- loss of consciousness or convulsions (uncontrollable shaking)
A subarachnoid haemorrhage is a medical emergency. Dial 999 immediately and ask for an ambulance if you or someone in your care has these symptoms."
Malignant brain tumour (brain cancer),"A malignant brain tumour is a cancerous growth in the brain.
It's different from abenign brain tumour, which isn't cancerous and tends to grow more slowly.","The symptoms of a brain tumour depend on where it is in the brain.
Common symptoms include:
- headaches (often worse in the morning and when coughing or straining)
- fits (seizures)
- regularly feeling sick (vomiting)
- memory problems or changes in personality
- weakness, vision problems or speech problems that get worse
See a GP if you have symptoms of a brain tumour that don't go away. It's unlikely to be a tumour, but it's best to be sure."
Brain tumours,"A brain tumour is a growth of cells in the brain that multiplies in an abnormal, uncontrollable way.
Brain tumours are graded according to how fast they grow and how likely they are to grow back after treatment.","The symptoms of a brain tumour vary depending on the exact part of the brain affected.
Common symptoms include:
- headaches
- seizures (fits)
- persistently feeling sick (nausea), being sick (vomiting) and drowsiness
- mental or behavioural changes, such as memory problems or changes in personality
- progressive weakness orparalysison one side of the body
- vision or speech problems
Sometimes you may not have any symptoms to begin with, or they may develop very slowly over time."
Breast abscess,"A breast abscess is a painful build-up of pus in the breast caused by an infection. It mainly affects women who are breastfeeding.It's not usually serious, but it needs treatment in hospital.
Symptoms of a breast abscess may include:","- a lump or swelling in your breast
- pain in your breast, it may also feel warm or look red (this may be harder to see on brown or black skin)
- a high temperature
- feeling generally unwell"
Breast cancer in men,"Breast cancer is cancer that's found in the breasts or breast tissue in the chest. Anyone can get it, including men.","Symptoms of breast cancer in men may include:
- a lump or swelling in your chest or armpit
- liquid leaking from your nipples (nipple discharge), which may have blood in it
- changes in the size or shape of either side of your chest
- sores or ulcers on your chest
- a change in the shape or look of your nipple, such as it turning inwards (inverted nipple) or a rash on it (may look like eczema)"
Breast cancer in women,Breast cancer is cancer that's found in the breasts. It's the most common type of cancer in women in the UK. Anyone can get breast cancer.,"Symptoms of breast cancer in women may include:
- a lump, or swelling in your breast, chest or armpit
- a change in the skin of your breast, such as dimpling (may look like orange peel) or redness (may be harder to see on black or brown skin)
- a change in size or shape of 1 or both breasts
- nipple discharge(if you are not pregnant or breastfeeding), which may have blood in it
- a change in the shape or look of your nipple, such as it turning inwards (inverted nipple) or a rash on it (may look like eczema)
- pain in your breast or armpit which does not go away –breast painthat comes and goes is usually not a symptom of breast cancer"
Breast lumps,"If you feel a lump in your breast, always get it checked by a GP. Most breast lumps are harmless, but some can be serious.
Changes in the breasts can be a sign of breast cancer. This is easier to treat if it's found early.",N/A
Breast pain,"There are many reasons breasts can be painful. It's not usually anything serious, but see a GP if the pain does not improve.
Breast pain is usually linked to periods. Sometimes it can be caused by a health condition or medicine.",N/A
Breast reduction on the NHS,"Breast reduction surgery can help women who are unhappy with the shape, weight or droop of their breasts by making them smaller and more lifted.
But if it's done to improve appearance rather than for health reasons, it's not normally available on the NHS. Instead, you'll need to pay for the procedure privately.",N/A
Breast screening (mammogram),"NHS breast screening uses X-rays, called mammograms, to look for cancers that are too small to see or feel.",N/A
Breath-holding in babies and children,"Breath-holding is when a baby or child stops breathing for up to 1 minute and may faint. It can happen when a child is frightened, upset, angry, or has a sudden shock or pain. It's usually harmless but can be scary for parents, particularly when it happens for the first time.
These could be symptoms of breath-holding, but could also be related to other, more serious conditions.",N/A
Broken ankle,"Get medical advice as soon as possible if you think you've broken your ankle. It may need treatment to heal properly.
Do not worry if you're not sure if your ankle is broken. Get it checked by a doctor.",N/A
Broken arm or wrist,"Get medical advice as soon as possible if you think you have broken your arm or wrist. Any possible breaks need to be treated as soon as possible.
You may have broken your arm or wrist if you've injured it and it suddenly became:",N/A
Broken collarbone,"A broken collarbone is usually caused by an injury to your shoulder. Get medical advice as soon as possible if you think you have a broken collarbone.
You may have broken your collarbone if you've been injured and your shoulder:","- chest pain
- difficulty breathing
- coughing up blood"
Broken finger or thumb,"Get medical advice as soon as possible if you think you've broken a finger or thumb. It may need treatment to heal properly.
A broken bone is also known as a fracture.",N/A
Broken hip,"A broken hip (hip fracture) is serious and needs treatment in hospital straight away. It can take several weeks or months to recoverandyou may not get back the same strength and movement you had before.
A broken hip usually happens because of a fall or injury. It's more common in older people and people who haveosteoporosis.","- pain in the hip or upper leg
- swelling and bruising around your hip and upper leg
- not being able to stand or put weight on the affected hip and leg
- difficulty moving your hip and leg
- the affected leg is at an odd angle or is shorter than the unaffected leg"
Broken leg,"A broken leg (leg fracture) will be severely painful and may be swollen or bruised. You usually will not be able to walk on it.
If it's a severe fracture, the leg may be an odd shape and the bone may even be poking out of the skin.",N/A
Broken nose,"A broken nose usually heals on its own within 3 weeks. Get medical help if it's not getting better or your nose has changed shape.
Symptoms of a broken nose include:","- pain, swelling and bruising
- a crunching or crackling sound when you touch your nose
- difficulty breathing through your nose – it might feel blocked
- your nose changing shape – for example, it's not as straight as before"
Broken or bruised ribs,"Bruised or broken ribs can be very painful, but usually heal by themselves.
Broken or bruised ribs are usually caused by a fall, a blow to the chest or severe coughing.","- strong pain in your chest area, particularly when you breathe in or cough
- swelling or tenderness around the affected ribs
- sometimes bruising on the skin
- feeling or hearing a crack if it's a broken rib"
Broken toe,"A broken toe can be painful, but you do not usually need to go to hospital. There are things you can do to treat it at home.
You may have broken your toe if it's:",N/A
"Overview
    
 - 
      Bronchiectasis","Bronchiectasis is a long-term condition where the airways of the lungs become widened, leading to a build-up of excess mucus that can make the lungs more vulnerable to infection.
The most common symptoms of bronchiectasis include:","- a persistentcoughthat usually brings up phlegm (sputum)
- shortness of breath"
Bronchiolitis,"Bronchiolitis is a common chest infection that affects babies and children under 2. It's usually mild and can be treated at home, but it can be serious.
Bronchiolitis is different frombronchitis, which causes a cough with lots of mucus and can affect people of all ages.","- breathing more quickly
- finding it difficult to feed or eat
- noisy breathing (wheezing)
- becoming irritable"
Bronchitis,"Bronchitis is inflammation of the airways in the lungs that is usually caused by an infection. It often gets better without treatment in around 3 weeks.
Some people have long-term inflammation of the airways in the lungs called chronic bronchitis. This is known aschronic obstructive pulmonary disease (COPD).","Symptoms of bronchitis can be similar to a cold or flu.
Symptoms include:
- a cough – you may cough up clear, white, yellow or green mucus
- chest pain when coughing
- shortness of breath
- a sore throat
- a runny nose
- a high temperature"
Brucellosis,"Brucellosis is an infection you can catch from unpasteurised milk and cheese or from contact with infected animals. It's very rare in the UK.
Brucellosis is mainly caught by drinking milk or eating dairy products made from milk from infected animals that has not been pasteurised (heat-treated to kill bacteria).","Symptoms of brucellosis may appear suddenly over 1 to 2 days or gradually over several weeks.
The symptoms can be like flu and may include:
- a high temperature
- loss of appetite
- sweating
- headaches
- extreme tiredness
- back and joint pain"
Brugada syndrome,"Brugada syndrome is a rare heart condition that's usually inherited. It can affect your heart rhythm and can be life-threatening, but there are things you can do to reduce the risk of serious problems.
Brugada syndrome does not usually cause any symptoms. Sometimes it's found when you have anelectrocardiogram (ECG)for another reason.","Brugada syndrome does not usually cause any symptoms. Sometimes it's found when you have anelectrocardiogram (ECG)for another reason.
If you do get symptoms they can include:
- faintingor blackouts
- feeling dizzy or lightheaded
- heart palpitations
- seizures or fits
- shortness of breath
Symptoms usually start in adulthood, but it can happen at any age.
Brugada syndrome can also cause a dangerously fast or irregular heartbeat. This can lead to a cardiac arrest, where your heart beats so fast that not enough blood gets to your brain, so you become unconscious and stop breathing."
Teeth grinding (bruxism),"Teeth grinding (also called bruxism) is often related to stress or anxiety. There are things you can do to help and treatments available from a dentist or GP.
It's not always clear what causes people to grind their teeth.","Teeth grinding can happen while you're awake or asleep.
As well as grinding your teeth and clenching your jaw, other symptoms can include:
- face, neck and shoulder pain
- a painful jaw, which can lead to a condition calledtemporomandibular disorder (TMD)
- worn-down or broken teeth, which can cause increased sensitivity and loss of teeth and fillings
- headaches
- earache
- disturbed sleep"
Bulging eyes (exophthalmos),"Bulging eyes (exophthalmos) could be a sign of a problem with your thyroid gland. It can be treated, but get it checked quickly as your vision can be affected.
DR P. MARAZZI/SCIENCE PHOTO LIBRARY https://www.sciencephoto.com/media/262818/view","- pain or problems closing your eyes or moving them around
- dry eyes or feeling like there’s dirt or grit in them
- your eyes hurt when looking at bright lights"
Bullous pemphigoid,"Bullous pemphigoid is a rare skin condition that mainly affects people over the age of 60. It may last a few years and can be serious, but treatment helps.
Bullous pemphigoid usually starts with an itchy, raised rash on the skin, usually the backs of the knees, insides of the armpits and elbows, hands, feet or tummy.",N/A
Bunions,"Bunions are bony lumps that form on the side of the feet. Surgery is the only way to get rid of them, but there are things you can do to ease any pain they cause.
Mediscan / Alamy Stock Photo https://www.alamy.com/hallux-valgus-bunions-image1684878.html?pv=1&stamp=2&imageid=7311439E-DA3A-46D3-9A75-6CBBDDE2F698&p=17774&n=155&orientation=0&pn=1&searchtype=0&IsFromSearch=1&srch=foo%3Dbar%26st%3D0%26sortby%3D3%26qt%3Dhallux%2520valgus%26qt_raw%3Dhallux%2520valgus%26qn%3D%26lic%3D3%26edrf%3D0%26mr%3D0%26pr%3D0%26aoa%3D1%26creative%3D%26videos%3D%26nu%3D%26ccc%3D%26bespoke%3D4%26apalib%3D%26ag%3D0%26hc%3D0%26et%3D0x000000000000000000000%26vp%3D0%26loc%3D0%26ot%3D0%26imgt%3D0%26dtfr%3D%26dtto%3D%26size%3D0xFF%26blackwhite%3D%26cutout%3D%26archive%3D1%26name%3D%26groupid%3D%26pseudoid%3D%26userid%3D%26id%3D%26a%3D%26xstx%3D0%26cbstore%3D0%26resultview%3DsortbyRelevant%26lightbox%3D%26gname%3D%26gtype%3D%26apalic%3D%26tbar%3D1%26pc%3D%26simid%3D%26cap%3D1%26customgeoip%3DGB%26vd%3D0%26cid%3D%26pe%3D%26so%3D%26lb%3D%26pl%3D0%26plno%3D%26fi%3D0%26langcode%3Den%26upl%3D0%26cufr%3D%26cuto%3D%26howler%3D%26cvrem%3D0%26cvtype%3D0%26cvloc%3D0%26cl%3D0%26upfr%3D%26upto%3D%26primcat%3D%26seccat%3D%26cvcategory%3D*%26restriction%3D%26random%3D%26ispremium%3D1%26flip%3D0%26contributorqt%3D%26plgalleryno%3D%26plpublic%3D0%26viewaspublic%3D0%26isplcurate%3D0%26imageurl%3D%26saveQry%3D%26editorial%3D%26t%3D0%26edoptin%3D%26apaid%3D%7B18B189B6-6A83-41BD-8442-2448A6B7E281%7D%26custspecid%3D14369B5F-24B7-4344-B743-D5DE569A1F46%26filters%3D0",N/A
"Overview
    
 - 
      Burns and scalds","Burns and scalds are damage to the skin usually caused by heat. Both are treated in the same way.
A burn is caused by dry heat – by an iron or fire, for example. A scald is caused by something wet, such as hot water or steam.","- coughing
- a sore throat
- difficulty breathing
- facial burns"
Bursitis,"Bursitis is whenthe fluid-filled sacs (bursa) that cushion the joints have become painful and swollen (inflamed). It can usually be treated at home and should go away in a few weeks.
You might have bursitis if 1 of your joints is:",N/A
Sciatica,"Sciatica happens when the sciatic nerve, which runs from your lower back to your feet, is irritated or compressed. It usually gets better in a few weeks to a few months but can last longer.
If you get sciatica, there's a chance that it could happen again at some point.",N/A
"Overview
    
 - 
      Coronary artery bypass graft","A coronary artery bypass graft (CABG) is a surgical procedure used to treat coronary heart disease.
It diverts blood around narrowed or clogged parts of the major arteries to improve blood flow and oxygen supply to the heart.",N/A
"Overview
    
 - 
      Caesarean section","A caesarean section, or C-section, is an operation to deliver your baby through a cut made in your tummy and womb.
The cut is usually made across your tummy, just below your bikini line.",N/A
"Overview
    
 - 
      Cancer","Cancer is a condition where cells in a specific part of the body grow and reproduce uncontrollably. The cancerous cells can invade and destroy surrounding healthy tissue, including organs.
Cancer sometimes begins in one part of the body before spreading to other areas. This process is known as metastasis.","Changes to your body's normal processes or unusual, unexplained symptoms can sometimes be an early sign of cancer.
Symptoms that need to be checked by a doctor include:
- a lump that suddenly appears on your body
- unexplained bleeding
- changes to your bowel habits
But in many cases your symptoms will not be related to cancer and will be caused by other, non-cancerous health conditions.
Read more about thesigns and symptoms of cancer."
Carbon monoxide poisoning,"Carbon monoxide is a poisonous gas that can make you seriously ill if you breathe it in. Carbon monoxide can be made by fires and appliances that burn gas, wood, oil or coal.
Carbon monoxide gas is colourless and does not smell, so you cannot tell if it is around you.","- headache
- dizziness
- feeling sick or being sick
- feeling weak
- confusion
- chest and muscle pain
- shortness of breath"
"Overview
    
 - 
      Cardiac catheterisation and coronary angiography","Cardiac catheterisation is an invasive diagnostic procedure that provides important information about the structure and function of the heart.
It usually involves takingX-raysof the heart's arteries (coronary arteries) using a technique called coronary angiography or arteriography.",N/A
Cardiomyopathy,"Cardiomyopathy is a general term for diseases of the heart muscle, where the walls of the heart chambers have become stretched, thickened or stiff. This affects the heart's ability to pump blood around the body.
Most types of cardiomyopathy are inherited. It can also be caused by other conditions, or risk factors, but for some people the cause is unknown. Cardiomyopathy can affect people of all ages.",N/A
Cardiovascular disease,"Cardiovascular disease (CVD) is a general term for conditions affecting the heart or blood vessels.
It's usually associated with a build-up of fatty deposits inside the arteries (atherosclerosis) and an increased risk ofblood clots.","- Face– the face may have drooped on one side, the person may be unable to smile, or their mouth or eye may have dropped.
- Arms– the person may not be able to lift both arms and keep them there because of arm weakness or numbness in one arm.
- Speech– their speech may be slurred or garbled, they may not be able to talk at all or they may not be able to understand what you are saying to them.
- Time– it's time to dial 999 immediately if you see any of these signs or symptoms."
"Overview
    
 - 
      Carotid endarterectomy","Carotid endarterectomy is a surgical procedure to remove a build-up of fatty deposits (plaque), which cause narrowing of a carotid artery.
The carotid arteries are the main blood vessels that supply blood to the neck, face and brain.","- numbness or weakness in your face, arm or leg
- speech problems
- loss of vision in 1 eye"
Carpal tunnel syndrome,"Carpal tunnel syndrome (CTS) is pressure on a nerve in your wrist. It causes tingling, numbness and pain in your hand and fingers. You can often treat it yourself, but it can take months to get better.
The symptoms of carpal tunnel syndrome include:","- an ache or pain in your fingers, hand or arm
- numb hands
- tingling or pins and needles
- a weak thumb or difficulty gripping"
Cataract surgery,"Cataract surgery is an operation to replace a cloudy lens in your eye with an artificial lens.
Cataract surgery is done to improve your vision if you have cataracts.",N/A
Cataracts in adults,"Cataracts is where the lens in your eye becomes cloudy, causing blurred vision and loss of sight. It usually affects older adults and can be treated with surgery.
This page is about cataracts in adults.Find out about cataracts in children.","Symptoms of cataracts usually develop slowly.
You'll often have cataracts in both eyes but the symptoms may be different in each eye.
Symptoms include:
- blurred vision
- difficulty seeing at night
- difficulty reading and watching television
- your eyes being uncomfortable in, or sensitive to, light and glare
- looking at 1 object but seeing 2 (double vision)
- seeing glowing rings (halos) around lights
- colours look faded, especially blue
If you wear glasses, you may notice that you need to change the prescription of your glasses more often than usual."
"Overview
    
 - 
      Childhood cataracts","Cataracts occur when changes in the lens of the eye cause it to become less transparent (clear). This results in cloudy or misty vision.
The lens is the transparent structure located just behind the pupil (the black circle in the centre of the eye).","In children, cataracts can affect 1 or both eyes.
Cloudy patches in the lens can sometimes get bigger and more can develop, resulting in the child's vision becoming increasingly affected.
As well as poor vision, cataracts can also cause ""wobbling eyes"" and asquint, where the eyes point in different directions.
When your child is very young, it can be difficult to spot signs of cataracts.
But your baby's eyes will be routinely examined at their newborn physical screening examination within 72 hours of birth, and again when they're 6 to 8 weeks old.
If a congenital cataract is suspected at the newborn examination, a specialist eye doctor will see your baby within 2 weeks of the examination.
If a congenital cataract is suspected at the 6 to 8 week examination, a specialist eye doctor will see your baby by the time they're 11 weeks old.
Sometimes cataracts can develop in children after these screening tests.
It's particularly important to spot cataracts in children quickly because early treatment can reduce the risk of long-term vision problems.
You should visit a GP or tell your health visitor if you have any concerns about your child's eyesight.
Read more about thesymptoms of childhood cataractsanddiagnosing childhood cataracts."
Catarrh,"Catarrh is a build-up of mucus in your nose and sinuses and phlegm in your throat. It usually clears up by itself but see a GP if it lasts longer than a few weeks.
You may get catarrh if you have an infection like acold,fluorsinusitis.","- a constantly blocked nose
- feeling like there's a lump or something stuck in your throat
- a frequent need to swallow or cough to try to clear your throat
- a feeling that mucus is slowly dripping down the back of your throat (postnasal drip)
- a crackling feeling in your ears"
Cavernoma,"A cavernoma is a cluster of abnormal blood vessels, usually found in the brain and spinal cord.
They're sometimes known as cavernous angiomas, cavernous haemangiomas, or cerebral cavernous malformation (CCM).","A cavernoma often does not cause symptoms, but when symptoms do occur they can include:
- bleeding (haemorrhage)
- fits (seizures)
- headaches
- neurological problems, such as dizziness,slurred speech (dysarthria),double vision, balance problems andtremor
- weakness, numbness, tiredness,memory problemsand difficulty concentrating
- a type ofstrokecalled a haemorrhagic stroke
The severity and duration of symptoms can vary depending on the size, location and number of cavernomas.
Problems can occur if the cavernoma bleeds or presses on certain areas of the brain.
The cells lining a cavernoma are often thinner than those that line normal blood vessels, which means they're prone to leaking blood.
In most cases, bleeding is small – usually around half a teaspoonful of blood – and may not cause other symptoms.
But severe haemorrhages can be life threatening and may lead to long-lasting problems.
You should seek medical help as soon as possible if you experience any of the above symptoms for the first time."
"Overview
    
 - 
      Cavernous sinus thrombosis","Cavernous sinus thrombosis is a blood clot in the cavernous sinuses. It can be life-threatening.
The cavernous sinuses are hollow spaces located under the brain, behind each eye socket. A major blood vessel called the jugular vein carries blood through the cavernous sinuses away from the brain.","- a sharp and severeheadache, particularly around the eye
- swelling and bulging of the eye(s) and the surrounding tissues
- eye pain that's often severe
- double vision
- a high temperature"
Cellulitis,"Cellulitis is a skin infection that's treated with antibiotics. It can be serious if it's not treated quickly.
Early treatment with antibiotics can stop cellulitis becoming more serious.",N/A
"Overview
    
 - 
      Cerebral palsy","Cerebral palsy is the name for a group of lifelong conditions that affect movement and co-ordination. It's caused by a problem with the brain that develops before, during or soon after birth.
The symptoms of cerebral palsy are not usually obvious just after a baby is born. They normally become noticeable from an early age.","The symptoms of cerebral palsy are not usually obvious just after a baby is born. They normally become noticeable from an early age.
Symptoms can include:
- delays in reaching development milestones – for example, not sitting by 8 months or not walking by 18 months
- seeming too stiff or too floppy
- weak arms or legs
- fidgety, jerky or clumsy movements
- random, uncontrolled movements
- walking on tiptoes
- a range of other problems – such asswallowing problems, speaking problems, vision problems andlearning disabilities
The severity of symptoms can vary significantly. Some people only have minor problems, while others may be severely disabled.
Read more about the symptoms of cerebral palsy"
Cervical cancer,"Cervical cancer is cancer that's found anywhere in the cervix, which is the opening between the vagina and the womb.","Symptoms of cervical cancer include:
- vaginal bleeding that's unusual for you – including bleeding during or after sex, between your periods or after themenopause, or having heavier periods than usual
- changes to your vaginal discharge
- pain during sex
- pain in your lower back, between your hip bones (pelvis), or in your lower tummy
If you have another condition like fibroids or endometriosis, you may get symptoms like these regularly.
You might find you get used to them. But it's important to be checked by a GP if your symptoms change, get worse, or do not feel normal for you."
Cervical screening,"Cervical screening, which used to be called smear test, is a test to check the health of the cervix and help prevent cervical cancer. It's offered to women and people with a cervix aged 25 to 64.",N/A
Cervical spondylosis,"Cervical spondylosis is a common condition that can cause neck and shoulder pain, often in people over 40. A GP should check more serious cases affecting the spine.
Symptoms of cervical spondylosis include:",There are things you can do to help ease neck pain caused by cervical spondylosis.
"Overview
    
 - 
      Charcot-Marie-Tooth disease","Charcot-Marie-Tooth disease (CMT) is a group of inherited conditions that damage the peripheral nerves.
It's also known as hereditary motor and sensory neuropathy (HMSN) or peroneal muscular atrophy (PMA).","CMT is a progressive condition, which means the symptoms gradually get worse over time.
This means it may be difficult to spot symptoms in young children who have CMT.
Signs that a young child may have CMT include:
- appearing unusually clumsy and accident-prone for their age
- difficulty walking because they may have problems lifting their feet from the ground
- their toes dropping forward as they lift their feet (foot drop)"
Charles Bonnet syndrome,"Charles Bonnet syndrome is a conditionwhere you see things that are not real (hallucinations).It can happen if you've lost a lotof your sight.It's not caused by a mental health problem or dementia.
The main symptom of Charles Bonnet syndrome is seeing things that are not real (hallucinations) after losing a lot of your sight.",N/A
Chemotherapy,"Chemotherapy is a common cancer treatment that uses medicine to kill cancer cells.
Chemotherapy is used to treat many types of cancer.",N/A
Chest infection,"A chest infection is an infection of the lungs or large airways. Some chest infections are mild and clear up on their own, but others can be severe and life threatening.
These symptoms can be unpleasant, but they usually get better on their own in about 7 to 10 days.","- a chestycough– you may cough up green or yellow mucus
- wheezing and shortness of breath
- chest pain or discomfort
- a high temperature
- aheadache
- aching muscles
- tiredness"
Chest pain,"Most chest pain is not a sign of anything serious but get medical advice just in case. Get immediate medical help if you think you're having a heart attack.
You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",N/A
Chiari malformation,"A Chiari malformation, previously called an Arnold-Chiari malformation, is where the lower part of the brain pushes down into the spinal canal.
There are 4 main types, but type 1, called Chiari I, is the most common.","Many people with a Chiari I malformation will not have any symptoms. Sometimes they're only found after anMRI scanof the brain is carried out for another reason.
If symptoms do develop, they can include:
- headaches– these are usually felt at the back of the head and may be brought on or made worse by coughing, straining, sneezing or bending over
- neck pain
- dizziness and balance problems
- muscle weakness
- numbness or tingling in the arms or legs
- blurred vision,double visionand sensitivity to light
- swallowing problems
- hearing lossandtinnitus
- feeling and being sick
- difficulty sleeping (insomnia) andclinical depression
If you develop syringomyelia, you may also experience problems using your hands, difficulty walking, pain, and problems with bladder or bowel control.
If you've been diagnosed with a Chiari malformation, you should contact your doctor for advice if you develop any new symptoms or your symptoms worsen."
Chickenpox,"Chickenpox is a common infection that spreads easily and mostly affects children. It usually gets better on its own after 1 to 2 weeks without needing to see a GP, but can be serious in some people.
The main symptom of chickenpox is an itchy, spotty rash. It can be anywhere on the body.","The main symptom of chickenpox is an itchy, spotty rash. It can be anywhere on the body.
Before or after the rash appears, you might also have:
- a high temperature
- aches and pains, and generally feel unwell
- loss of appetite
Chickenpox happens in 3 stages, but new spots can appear while others are becoming blisters or forming a scab."
Chilblains,"Chilblains are small, itchy patches that can appear on your skin after you've been in the cold. They usually clear up on their own. You may need to see a GP if they do not go away.
Chilblains usually appear a few hours after you've been in the cold.",N/A
"Chipped, broken or cracked tooth","Chipping, breaking or cracking a tooth is usually not serious. A dentist should be able to treat it.
If a piece of tooth has broken off, put it in milk or saliva (by spitting into a container if it's your tooth, or having your child spit into a container if it's theirs) and take it to a dentist. The dentist may be able to glue the piece of tooth back on.",N/A
Chiropractic,"Chiropractic is a treatment where a practitioner called a chiropractor uses their hands to help relieve problems with the bones, muscles and joints.
It's considered a type ofcomplementary and alternative medicine (CAM), which means it's not a conventional medical treatment.",N/A
Chlamydia,"Chlamydia is a sexually transmitted infection (STI) passed on through unprotected sex (sex without a condom). It’s treated with antibiotics. If not treated it can cause serious health problems.
Most people who have chlamydia do not have any symptoms.","Most people who have chlamydia do not have any symptoms.
If you do get symptoms they can start from 1 week to several months after infection."
Cholera,"Cholera is an infection that can cause severe diarrhoea. It's not found in the UK, but there's a very small risk of getting it while travelling in some parts of the world.
Cholera is not found in the UK. It's mostly found in parts of Africa and Asia, in places without a clean water supply.","Symptoms of cholera include:
- having lots of watery diarrhoea
- feeling sick or being sick
- tummy pain
- dehydration"
Cholesteatoma,"A cholesteatoma is a build-up of dead cells inside your ear that can cause hearing loss, tinnitus, and dizziness. It's rare and can be treated with surgery.
A cholesteatoma is a growth that usually only affects the inside of 1 ear.","A cholesteatoma is a growth that usually only affects the inside of 1 ear.
Common symptoms may include:
- a watery, smelly, discharge that comes out of the ear
- a gradual loss of hearing in the affected ear
- pain in the affected ear
Cholesteatoma can also cause:
- ear infections that keep coming back
- vertigo
- tinnitus
- damage to the facial nerve
Rarely, a cholesteatoma infection can cause abrain abscessormeningitis."
"What is high cholesterol?
    
 - 
      High cholesterol","Heart UK has information about inherited high cholesterol that starts at a young age (familial hypercholesterolaemia).
Find out about familial hypercholesterolaemia on the Heart UK website",N/A
"Overview
    
 - 
      Chorionic villus sampling","Chorionic villus sampling (CVS) is a test you may be offered during pregnancy to check if your baby has a genetic or chromosomal condition, such as Down's syndrome, Edwards' syndrome or Patau's syndrome.
It involves removing and testing a small sample of cells from the placenta, the organ linking the mother's blood supply with the unborn baby's.",N/A
"Overview
    
 - 
      Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)","Myalgic encephalomyelitis, also called chronic fatigue syndrome or ME/CFS, is a long-term conditionthat can affect different parts of the body. The most common symptom is extreme tiredness. The cause of ME/CFS is unknown.
ME/CFS can affect anyone, including children.","The 4 main symptoms of ME/CFS are:
- feeling extremely tired all the time (fatigue), which can make daily activities like taking a shower, or going to work or school, difficult
- sleep problems, including insomnia, sleeping too much, feeling like you have not slept properly and feeling exhausted or stiff when you wake up
- problems with thinking, concentration and memory (brain fog)
- symptoms getting worse after physical or mental activity, and possibly taking weeks to get better (also called post-exertional malaise, or PEM)
Some people with ME/CFS may also have pain in different parts of the body or flu-like symptoms, such as high temperature, headache and aching joints or muscles.
The symptoms of ME/CFS are similar to the symptoms of some other illnesses, so it’s important to see a GP to get a correct diagnosis.
Find out more about the symptoms of ME/CFS"
"Overview
    
 - 
      Chronic kidney disease","Chronic kidney disease (CKD) is a long-term condition where the kidneys do not work as well as they should.
It's a common condition often associated with getting older. It can affect anyone, but it's more common in people who are black or of south Asian origin.","There are usually no symptoms of kidney disease in the early stages. It may only be diagnosed if you have a blood or urine test for another reason and the results show a possible problem with your kidneys.
At a more advanced stage, symptoms can include:
- tiredness
- swollen ankles, feet or hands
- shortness of breath
- feeling sick
- blood in your pee (urine)
See a GP if you have persistent or worrying symptoms that you think could be caused by kidney disease.
Find out more about thesymptoms of CKD."
"What is chronic lymphocytic leukaemia?
    
 - 
      Chronic lymphocytic leukaemia","It's important to get anysymptoms of chronic lymphocytic leukaemiachecked as soon as possible. Finding it early can mean it's more treatable.
Page last reviewed: 17 January 2023Next review due: 17 January 2026",It's important to get anysymptoms of chronic lymphocytic leukaemiachecked as soon as possible. Finding it early can mean it's more treatable.
Chronic myeloid leukaemia,Chronic myeloid leukaemia (CML) is a rare type of cancer that affects the bone marrow and white blood cells.,"Symptoms of chronic myeloid leukaemia (CML) are not always obvious and can be similar to other conditions.
You may not have any symptoms in the early stages.
If you do have symptoms, they can include:
- feeling tired or weak
- bleeding or bruising easily or for no reason
- looking more pale than usual – on brown or black skin this may be easier to see on the palms of your hands or insides of your eyelids
- getting ill a lot or taking longer than usual to recover from illnesses
- swollen glands, usually in the neck, armpits and groin
- aches and pains in your bones
- loss of appetite or losing weight without trying
- swollen tummy – your tummy may feel painful, uncomfortable or full
- night sweats
- headaches
Less common symptoms include:
- blurred vision
- swollen or painful joints
- painful erections(priapism), or erections that do not go down"
