disease,input,symptoms
Burns and scalds,"Burns and scalds are damage to the skin usually caused by heat. Both are treated in the same way.
A burn is caused by dry heat – by an iron or fire, for example. A scald is caused by something wet, such as hot water or steam. Symptoms: - coughing - a sore throat - difficulty breathing - facial burns",- coughing - a sore throat - difficulty breathing - facial burns
Bursitis,"Bursitis is whenthe fluid-filled sacs (bursa) that cushion the joints have become painful and swollen (inflamed). It can usually be treated at home and should go away in a few weeks.
You might have bursitis if 1 of your joints is:",
Sciatica,"Sciatica happens when the sciatic nerve, which runs from your lower back to your feet, is irritated or compressed. It usually gets better in a few weeks to a few months but can last longer.
If you get sciatica, there's a chance that it could happen again at some point.",
Coronary artery bypass graft,"A coronary artery bypass graft (CABG) is a surgical procedure used to treat coronary heart disease.
It diverts blood around narrowed or clogged parts of the major arteries to improve blood flow and oxygen supply to the heart.",
Caesarean section,"A caesarean section, or C-section, is an operation to deliver your baby through a cut made in your tummy and womb.
The cut is usually made across your tummy, just below your bikini line.",
Cancer,"Cancer is a condition where cells in a specific part of the body grow and reproduce uncontrollably. The cancerous cells can invade and destroy surrounding healthy tissue, including organs.
Cancer sometimes begins in one part of the body before spreading to other areas. This process is known as metastasis. Symptoms: - a lump that suddenly appears on your body - unexplained bleeding - changes to your bowel habits",- a lump that suddenly appears on your body - unexplained bleeding - changes to your bowel habits
Carbon monoxide poisoning,"Carbon monoxide is a poisonous gas that can make you seriously ill if you breathe it in. Carbon monoxide can be made by fires and appliances that burn gas, wood, oil or coal.
Carbon monoxide gas is colourless and does not smell, so you cannot tell if it is around you. Symptoms: - headache - dizziness - feeling sick or being sick - feeling weak - confusion - chest and muscle pain - shortness of breath",- headache - dizziness - feeling sick or being sick - feeling weak - confusion - chest and muscle pain - shortness of breath
Cardiac catheterisation and coronary angiography,"Cardiac catheterisation is an invasive diagnostic procedure that provides important information about the structure and function of the heart.
It usually involves takingX-raysof the heart's arteries (coronary arteries) using a technique called coronary angiography or arteriography.",
Cardiomyopathy,"Cardiomyopathy is a general term for diseases of the heart muscle, where the walls of the heart chambers have become stretched, thickened or stiff. This affects the heart's ability to pump blood around the body.
Most types of cardiomyopathy are inherited. It can also be caused by other conditions, or risk factors, but for some people the cause is unknown. Cardiomyopathy can affect people of all ages.",
Cardiovascular disease,"Cardiovascular disease (CVD) is a general term for conditions affecting the heart or blood vessels.
It's usually associated with a build-up of fatty deposits inside the arteries (atherosclerosis) and an increased risk ofblood clots. Symptoms: - Face– the face may have drooped on one side, the person may be unable to smile, or their mouth or eye may have dropped. - Arms– the person may not be able to lift both arms and keep them there because of arm weakness or numbness in one arm. - Speech– their speech may be slurred or garbled, they may not be able to talk at all or they may not be able to understand what you are saying to them. - Time– it's time to dial 999 immediately if you see any of these signs or symptoms.","- Face– the face may have drooped on one side, the person may be unable to smile, or their mouth or eye may have dropped. - Arms– the person may not be able to lift both arms and keep them there because of arm weakness or numbness in one arm. - Speech– their speech may be slurred or garbled, they may not be able to talk at all or they may not be able to understand what you are saying to them. - Time– it's time to dial 999 immediately if you see any of these signs or symptoms."
Carotid endarterectomy,"Carotid endarterectomy is a surgical procedure to remove a build-up of fatty deposits (plaque), which cause narrowing of a carotid artery.
The carotid arteries are the main blood vessels that supply blood to the neck, face and brain. Symptoms: - numbness or weakness in your face, arm or leg - speech problems - loss of vision in 1 eye","- numbness or weakness in your face, arm or leg - speech problems - loss of vision in 1 eye"
Carpal tunnel syndrome,"Carpal tunnel syndrome (CTS) is pressure on a nerve in your wrist. It causes tingling, numbness and pain in your hand and fingers. You can often treat it yourself, but it can take months to get better.
The symptoms of carpal tunnel syndrome include: Symptoms: - an ache or pain in your fingers, hand or arm - numb hands - tingling or pins and needles - a weak thumb or difficulty gripping","- an ache or pain in your fingers, hand or arm - numb hands - tingling or pins and needles - a weak thumb or difficulty gripping"
Cataract surgery,"Cataract surgery is an operation to replace a cloudy lens in your eye with an artificial lens.
Cataract surgery is done to improve your vision if you have cataracts.",
Cataracts in adults,"Cataracts is where the lens in your eye becomes cloudy, causing blurred vision and loss of sight. It usually affects older adults and can be treated with surgery.
This page is about cataracts in adults.Find out about cataracts in children. Symptoms: - blurred vision - difficulty seeing at night - difficulty reading and watching television - your eyes being uncomfortable in, or sensitive to, light and glare - looking at 1 object but seeing 2 (double vision) - seeing glowing rings (halos) around lights - colours look faded, especially blue","- blurred vision - difficulty seeing at night - difficulty reading and watching television - your eyes being uncomfortable in, or sensitive to, light and glare - looking at 1 object but seeing 2 (double vision) - seeing glowing rings (halos) around lights - colours look faded, especially blue"
Childhood cataracts,"Cataracts occur when changes in the lens of the eye cause it to become less transparent (clear). This results in cloudy or misty vision.
The lens is the transparent structure located just behind the pupil (the black circle in the centre of the eye).",
Catarrh,"Catarrh is a build-up of mucus in your nose and sinuses and phlegm in your throat. It usually clears up by itself but see a GP if it lasts longer than a few weeks.
You may get catarrh if you have an infection like acold,fluorsinusitis. Symptoms: - a constantly blocked nose - feeling like there's a lump or something stuck in your throat - a frequent need to swallow or cough to try to clear your throat - a feeling that mucus is slowly dripping down the back of your throat (postnasal drip) - a crackling feeling in your ears",- a constantly blocked nose - feeling like there's a lump or something stuck in your throat - a frequent need to swallow or cough to try to clear your throat - a feeling that mucus is slowly dripping down the back of your throat (postnasal drip) - a crackling feeling in your ears
Cavernoma,"A cavernoma is a cluster of abnormal blood vessels, usually found in the brain and spinal cord.
They're sometimes known as cavernous angiomas, cavernous haemangiomas, or cerebral cavernous malformation (CCM). Symptoms: - bleeding (haemorrhage) - fits (seizures) - headaches - neurological problems, such as dizziness,slurred speech (dysarthria),double vision, balance problems andtremor - weakness, numbness, tiredness,memory problemsand difficulty concentrating - a type ofstrokecalled a haemorrhagic stroke","- bleeding (haemorrhage) - fits (seizures) - headaches - neurological problems, such as dizziness,slurred speech (dysarthria),double vision, balance problems andtremor - weakness, numbness, tiredness,memory problemsand difficulty concentrating - a type ofstrokecalled a haemorrhagic stroke"
Cavernous sinus thrombosis,"Cavernous sinus thrombosis is a blood clot in the cavernous sinuses. It can be life-threatening.
The cavernous sinuses are hollow spaces located under the brain, behind each eye socket. A major blood vessel called the jugular vein carries blood through the cavernous sinuses away from the brain. Symptoms: - a sharp and severeheadache, particularly around the eye - swelling and bulging of the eye(s) and the surrounding tissues - eye pain that's often severe - double vision - a high temperature","- a sharp and severeheadache, particularly around the eye - swelling and bulging of the eye(s) and the surrounding tissues - eye pain that's often severe - double vision - a high temperature"
Cellulitis,"Cellulitis is a skin infection that's treated with antibiotics. It can be serious if it's not treated quickly.
Early treatment with antibiotics can stop cellulitis becoming more serious.",
Cerebral palsy,"Cerebral palsy is the name for a group of lifelong conditions that affect movement and co-ordination. It's caused by a problem with the brain that develops before, during or soon after birth.
The symptoms of cerebral palsy are not usually obvious just after a baby is born. They normally become noticeable from an early age. Symptoms: - delays in reaching development milestones – for example, not sitting by 8 months or not walking by 18 months - seeming too stiff or too floppy - weak arms or legs - fidgety, jerky or clumsy movements - random, uncontrolled movements - walking on tiptoes - a range of other problems – such asswallowing problems, speaking problems, vision problems andlearning disabilities","- delays in reaching development milestones – for example, not sitting by 8 months or not walking by 18 months - seeming too stiff or too floppy - weak arms or legs - fidgety, jerky or clumsy movements - random, uncontrolled movements - walking on tiptoes - a range of other problems – such asswallowing problems, speaking problems, vision problems andlearning disabilities"
Cervical cancer,"Cervical cancer is cancer that's found anywhere in the cervix, which is the opening between the vagina and the womb. Symptoms: - vaginal bleeding that's unusual for you – including bleeding during or after sex, between your periods or after themenopause, or having heavier periods than usual - changes to your vaginal discharge - pain during sex - pain in your lower back, between your hip bones (pelvis), or in your lower tummy","- vaginal bleeding that's unusual for you – including bleeding during or after sex, between your periods or after themenopause, or having heavier periods than usual - changes to your vaginal discharge - pain during sex - pain in your lower back, between your hip bones (pelvis), or in your lower tummy"
Cervical screening,"Cervical screening, which used to be called smear test, is a test to check the health of the cervix and help prevent cervical cancer. It's offered to women and people with a cervix aged 25 to 64.",
Cervical spondylosis,"Cervical spondylosis is a common condition that can cause neck and shoulder pain, often in people over 40. A GP should check more serious cases affecting the spine.
Symptoms of cervical spondylosis include:",
Charcot Marie Tooth disease,"Charcot-Marie-Tooth disease (CMT) is a group of inherited conditions that damage the peripheral nerves.
It's also known as hereditary motor and sensory neuropathy (HMSN) or peroneal muscular atrophy (PMA). Symptoms: - appearing unusually clumsy and accident-prone for their age - difficulty walking because they may have problems lifting their feet from the ground - their toes dropping forward as they lift their feet (foot drop)",- appearing unusually clumsy and accident-prone for their age - difficulty walking because they may have problems lifting their feet from the ground - their toes dropping forward as they lift their feet (foot drop)
Charles Bonnet syndrome,"Charles Bonnet syndrome is a conditionwhere you see things that are not real (hallucinations).It can happen if you've lost a lotof your sight.It's not caused by a mental health problem or dementia.
The main symptom of Charles Bonnet syndrome is seeing things that are not real (hallucinations) after losing a lot of your sight.",
Chemotherapy,"Chemotherapy is a common cancer treatment that uses medicine to kill cancer cells.
Chemotherapy is used to treat many types of cancer.",
Chest infection,"A chest infection is an infection of the lungs or large airways. Some chest infections are mild and clear up on their own, but others can be severe and life threatening.
These symptoms can be unpleasant, but they usually get better on their own in about 7 to 10 days. Symptoms: - a chestycough– you may cough up green or yellow mucus - wheezing and shortness of breath - chest pain or discomfort - a high temperature - aheadache - aching muscles - tiredness",- a chestycough– you may cough up green or yellow mucus - wheezing and shortness of breath - chest pain or discomfort - a high temperature - aheadache - aching muscles - tiredness
Chest pain,"Most chest pain is not a sign of anything serious but get medical advice just in case. Get immediate medical help if you think you're having a heart attack.
You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",
Chiari malformation,"A Chiari malformation, previously called an Arnold-Chiari malformation, is where the lower part of the brain pushes down into the spinal canal.
There are 4 main types, but type 1, called Chiari I, is the most common. Symptoms: - headaches– these are usually felt at the back of the head and may be brought on or made worse by coughing, straining, sneezing or bending over - neck pain - dizziness and balance problems - muscle weakness - numbness or tingling in the arms or legs - blurred vision,double visionand sensitivity to light - swallowing problems - hearing lossandtinnitus - feeling and being sick - difficulty sleeping (insomnia) andclinical depression","- headaches– these are usually felt at the back of the head and may be brought on or made worse by coughing, straining, sneezing or bending over - neck pain - dizziness and balance problems - muscle weakness - numbness or tingling in the arms or legs - blurred vision,double visionand sensitivity to light - swallowing problems - hearing lossandtinnitus - feeling and being sick - difficulty sleeping (insomnia) andclinical depression"
Chickenpox,"Chickenpox is a common infection that spreads easily and mostly affects children. It usually gets better on its own after 1 to 2 weeks without needing to see a GP, but can be serious in some people.
The main symptom of chickenpox is an itchy, spotty rash. It can be anywhere on the body. Symptoms: - a high temperature - aches and pains, and generally feel unwell - loss of appetite","- a high temperature - aches and pains, and generally feel unwell - loss of appetite"
Chilblains,"Chilblains are small, itchy patches that can appear on your skin after you've been in the cold. They usually clear up on their own. You may need to see a GP if they do not go away.
Chilblains usually appear a few hours after you've been in the cold.",
"Chipped, broken or cracked tooth","Chipping, breaking or cracking a tooth is usually not serious. A dentist should be able to treat it.
If a piece of tooth has broken off, put it in milk or saliva (by spitting into a container if it's your tooth, or having your child spit into a container if it's theirs) and take it to a dentist. The dentist may be able to glue the piece of tooth back on.",
Chiropractic,"Chiropractic is a treatment where a practitioner called a chiropractor uses their hands to help relieve problems with the bones, muscles and joints.
It's considered a type ofcomplementary and alternative medicine (CAM), which means it's not a conventional medical treatment.",
Chlamydia,"Chlamydia is a sexually transmitted infection (STI) passed on through unprotected sex (sex without a condom). It’s treated with antibiotics. If not treated it can cause serious health problems.
Most people who have chlamydia do not have any symptoms.",
Cholera,"Cholera is an infection that can cause severe diarrhoea. It's not found in the UK, but there's a very small risk of getting it while travelling in some parts of the world.
Cholera is not found in the UK. It's mostly found in parts of Africa and Asia, in places without a clean water supply. Symptoms: - having lots of watery diarrhoea - feeling sick or being sick - tummy pain - dehydration",- having lots of watery diarrhoea - feeling sick or being sick - tummy pain - dehydration
Cholesteatoma,"A cholesteatoma is a build-up of dead cells inside your ear that can cause hearing loss, tinnitus, and dizziness. It's rare and can be treated with surgery.
A cholesteatoma is a growth that usually only affects the inside of 1 ear. Symptoms: - a watery, smelly, discharge that comes out of the ear - a gradual loss of hearing in the affected ear - pain in the affected ear - ear infections that keep coming back - vertigo - tinnitus - damage to the facial nerve","- a watery, smelly, discharge that comes out of the ear - a gradual loss of hearing in the affected ear - pain in the affected ear - ear infections that keep coming back - vertigo - tinnitus - damage to the facial nerve"
What is high cholesterol? High cholesterol,"Heart UK has information about inherited high cholesterol that starts at a young age (familial hypercholesterolaemia).
Find out about familial hypercholesterolaemia on the Heart UK website",
Chorionic villus sampling,"Chorionic villus sampling (CVS) is a test you may be offered during pregnancy to check if your baby has a genetic or chromosomal condition, such as Down's syndrome, Edwards' syndrome or Patau's syndrome.
It involves removing and testing a small sample of cells from the placenta, the organ linking the mother's blood supply with the unborn baby's.",
Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS),"Myalgic encephalomyelitis, also called chronic fatigue syndrome or ME/CFS, is a long-term conditionthat can affect different parts of the body. The most common symptom is extreme tiredness. The cause of ME/CFS is unknown.
ME/CFS can affect anyone, including children. Symptoms: - feeling extremely tired all the time (fatigue), which can make daily activities like taking a shower, or going to work or school, difficult - sleep problems, including insomnia, sleeping too much, feeling like you have not slept properly and feeling exhausted or stiff when you wake up - problems with thinking, concentration and memory (brain fog) - symptoms getting worse after physical or mental activity, and possibly taking weeks to get better (also called post-exertional malaise, or PEM)","- feeling extremely tired all the time (fatigue), which can make daily activities like taking a shower, or going to work or school, difficult - sleep problems, including insomnia, sleeping too much, feeling like you have not slept properly and feeling exhausted or stiff when you wake up - problems with thinking, concentration and memory (brain fog) - symptoms getting worse after physical or mental activity, and possibly taking weeks to get better (also called post-exertional malaise, or PEM)"
Chronic kidney disease,"Chronic kidney disease (CKD) is a long-term condition where the kidneys do not work as well as they should.
It's a common condition often associated with getting older. It can affect anyone, but it's more common in people who are black or of south Asian origin. Symptoms: - tiredness - swollen ankles, feet or hands - shortness of breath - feeling sick - blood in your pee (urine)","- tiredness - swollen ankles, feet or hands - shortness of breath - feeling sick - blood in your pee (urine)"
What is chronic lymphocytic leukaemia? Chronic lymphocytic leukaemia,"It's important to get anysymptoms of chronic lymphocytic leukaemiachecked as soon as possible. Finding it early can mean it's more treatable.
Page last reviewed: 17 January 2023Next review due: 17 January 2026",
Chronic myeloid leukaemia,"Chronic myeloid leukaemia (CML) is a rare type of cancer that affects the bone marrow and white blood cells. Symptoms: - feeling tired or weak - bleeding or bruising easily or for no reason - looking more pale than usual – on brown or black skin this may be easier to see on the palms of your hands or insides of your eyelids - getting ill a lot or taking longer than usual to recover from illnesses - swollen glands, usually in the neck, armpits and groin - aches and pains in your bones - loss of appetite or losing weight without trying - swollen tummy – your tummy may feel painful, uncomfortable or full - night sweats - headaches - blurred vision - swollen or painful joints - painful erections(priapism), or erections that do not go down","- feeling tired or weak - bleeding or bruising easily or for no reason - looking more pale than usual – on brown or black skin this may be easier to see on the palms of your hands or insides of your eyelids - getting ill a lot or taking longer than usual to recover from illnesses - swollen glands, usually in the neck, armpits and groin - aches and pains in your bones - loss of appetite or losing weight without trying - swollen tummy – your tummy may feel painful, uncomfortable or full - night sweats - headaches - blurred vision - swollen or painful joints - painful erections(priapism), or erections that do not go down"
Chronic obstructive pulmonary disease (COPD),"Chronic obstructive pulmonary disease (COPD) is the name for a group of lung conditions that cause breathing difficulties.
COPD is a common condition that mainly affects middle-aged or older adults who smoke. Many people do not realise they have it. Symptoms: - shortness of breath, particularly when you're active - a persistent chestycoughwith phlegm – some people may dismiss this as just a ""smoker's cough"" - frequentchest infections - persistent wheezing","- shortness of breath, particularly when you're active - a persistent chestycoughwith phlegm – some people may dismiss this as just a ""smoker's cough"" - frequentchest infections - persistent wheezing"
Chronic pancreatitis,"Chronic pancreatitis is a condition where the pancreas has become permanently damaged from inflammation and stops working properly.
The pancreas is a small organ, located behind the stomach, that helps with digestion.",
Chronic traumatic encephalopathy,"Chronic traumatic encephalopathy (CTE) is a brain condition thought to be linked to repeated head injuries and blows to the head. It slowly gets worse over time and leads to dementia, but the right help and support can manage the symptoms.
Early symptoms of chronic traumatic encephalopathy may not be noticeable at first. Symptoms: - short-termmemory loss - confusion, such as getting lost or not knowing what time of day it is - difficulties with planning and organisation - problems with movement","- short-termmemory loss - confusion, such as getting lost or not knowing what time of day it is - difficulties with planning and organisation - problems with movement"
Circumcision in boys,"Male circumcision is the surgical removal of the foreskin.
The foreskin is the roll of skin that covers the end of the penis.",
Circumcision in men,"Circumcision is the surgical removal of the foreskin.
The foreskin is the retractable fold of skin that covers the end of the penis. It's a continuation of the skin that covers the whole penis.",
Cirrhosis,"Cirrhosis is a condition where the liver is severely damaged. It can be life-threatening, but treatments and lifestyle changes can help stop it getting worse.
Many people who have cirrhosis do not have symptoms, especially early on. Symptoms: - feeling tired or unwell all the time - loss of appetite or losing weight without trying - feeling or being sick - tummy pain - visible blood vessels on the skin - blotchy red palms of the hands – the redness may be harder to see on brown or black skin - bleeding or bruising easily - itchy skin - changes to your fingers, such as them getting wider and curved (clubbed), or white nails - yellow skin and whites of the eyes (jaundice) – yellowing of the skin may be harder to see on brown or black skin - swollen tummy, legs, ankles or feet - trembling hands - slurred speech - feeling confused or difficulty concentrating - vomiting blood - very dark or black poo","- feeling tired or unwell all the time - loss of appetite or losing weight without trying - feeling or being sick - tummy pain - visible blood vessels on the skin - blotchy red palms of the hands – the redness may be harder to see on brown or black skin - bleeding or bruising easily - itchy skin - changes to your fingers, such as them getting wider and curved (clubbed), or white nails - yellow skin and whites of the eyes (jaundice) – yellowing of the skin may be harder to see on brown or black skin - swollen tummy, legs, ankles or feet - trembling hands - slurred speech - feeling confused or difficulty concentrating - vomiting blood - very dark or black poo"
Creutzfeldt Jakob disease,"Creutzfeldt-Jakob disease (CJD) is a rare and fatal condition that affects the brain. It causes brain damage that worsens rapidly over time.
Most people with CJD will die within a year of the symptoms starting, usually from infection. Symptoms: - loss of intellect and memory - changes in personality - loss of balance and co-ordination - slurred speech - vision problems andblindness - abnormal jerking movements - progressive loss of brain function and mobility",- loss of intellect and memory - changes in personality - loss of balance and co-ordination - slurred speech - vision problems andblindness - abnormal jerking movements - progressive loss of brain function and mobility
Cleft lip and palate,"A cleft is a gap or split in the upper lip and/or roof of the mouth (palate). It is present from birth.
The gap is there because parts of the baby's face did not join together properly during development in the womb.",
Clinical trials,"A clinical trial compares the effects of 1 treatment with another. It may involve patients, healthy people, or both.
You can ask your doctor or a patient organisation if they know of any clinical trials that you may be eligible to join.",
Clostridium difficile (C. diff) infection,"Clostridium difficile (C. diff) is a type of bacteria that can cause diarrhoea. It often affects people who have been taking antibiotics. It can usually be treated with a different type of antibiotic.
Common symptoms of a C. diff infection include: Symptoms: - diarrhoea - a high temperature - loss of appetite - feeling sick - a stomach ache",- diarrhoea - a high temperature - loss of appetite - feeling sick - a stomach ache
Club foot,"Club foot (also called talipes) is where a baby is born with a foot or feet that turn in and under. Early treatment should correct it.
DR M.A. ANSARY/SCIENCE PHOTO LIBRARY https://www.sciencephoto.com/media/266601/view",
Cluster headaches,"Cluster headaches are severe attacks of pain that can last for long periods. They're not caused by another illness. They can have a real impact on your life, but there are treatments that can help.
Cluster headaches are severe headaches that can happen multiple times a day and continue for weeks or months. They may stop for a while (weeks, months or years), or there may be no gap between headaches. Symptoms: - a sharp, burning or piercing pain, usually on 1 side of the head, around the eye - headaches that happen at the same time of year or at set times of the day - headaches that start and stop quickly, without warning - pain that can make you feel restless, you may want to walk around or move your body - headaches that last between 15 minutes and 3 hours","- a sharp, burning or piercing pain, usually on 1 side of the head, around the eye - headaches that happen at the same time of year or at set times of the day - headaches that start and stop quickly, without warning - pain that can make you feel restless, you may want to walk around or move your body - headaches that last between 15 minutes and 3 hours"
Tailbone (coccyx) pain,"Tailbone pain is pain in the bone at the base of the spine (coccyx), near the top of your bottom. There are things you can do to ease the pain, but get medical help if it does not get better after a few weeks.
The main symptom of tailbone (coccyx) pain is pain and tenderness at the base of your spine, near the top of your bottom.",
Coeliac disease,"Coeliac disease is a condition where your immune system attacks your own tissues when you eat gluten. This damages your gut (small intestine) so your body cannot properly take in nutrients.
Coeliac disease can cause a range of symptoms, including diarrhoea, abdominal pain and bloating. Symptoms: - diarrhoea, which may smell particularly unpleasant - stomach aches - bloating andfarting (flatulence) - indigestion - constipation - tiredness (fatigue)as a result of not getting enough nutrients from food (malnutrition) - unintentional weight loss - an itchy rash (dermatitis herpetiformis) - problems getting pregnant (infertility) - nerve damage (peripheral neuropathy) - disorders that affect co-ordination, balance and speech (ataxia)","- diarrhoea, which may smell particularly unpleasant - stomach aches - bloating andfarting (flatulence) - indigestion - constipation - tiredness (fatigue)as a result of not getting enough nutrients from food (malnutrition) - unintentional weight loss - an itchy rash (dermatitis herpetiformis) - problems getting pregnant (infertility) - nerve damage (peripheral neuropathy) - disorders that affect co-ordination, balance and speech (ataxia)"
Cold sores,"Cold sores are common and usually clear up on their own within 10 days. There are things you can do to help ease the pain.
A cold sore usually starts with a tingling, itching or burning feeling.",
Colic,"Colic is when a baby cries a lot but there's no obvious cause. It's a common problem that should get better by around 3 or 4 months of age. But call NHS 111 or see a GP if you're worried.
All babies cry, but your baby may have colic if they cry more than 3 hours a day, 3 days a week for at least 1 week but are otherwise healthy.",
What is a colonoscopy? Colonoscopy,"You're usually awake during a colonoscopy. You'll be offered medicine to make you more comfortable and make the test easier.
In this video, a nurse explains what happens during a colonoscopy.",
Colostomy,"Read about colostomy, an operation to bring part of your large bowel through an opening in your tummy to form a stoma. Find out why it's done, what it involves, possible complications and what to expect after the operation.",
Colour vision deficiency (colour blindness),"Colour vision deficiency (colour blindness) is where you see colours differently to most people, and have difficulty telling colours apart. There's no treatment for colour vision deficiency that runs in families, but people usually adapt to living with it.
The main symptom of colour vision deficiency is finding it hard to tell the difference between colours. Symptoms: - uses the wrong colours when drawing or painting, for example, drawing purple leaves on trees - has difficulty with tasks involving sorting colours - lacks interest in colouring tasks - smells food before eating it","- uses the wrong colours when drawing or painting, for example, drawing purple leaves on trees - has difficulty with tasks involving sorting colours - lacks interest in colouring tasks - smells food before eating it"
What is a colposcopy? Colposcopy,Page last reviewed: 24 May 2022Next review due: 24 May 2025,
Common cold,"You can often treat a cold without seeing a GP. You should begin to feel better in about 1 to 2 weeks.
Cold symptoms come on gradually over 2 to 3 days. Symptoms: - a blocked or runny nose - sneezing - a sore throat - a hoarse voice - a cough - feeling tired and unwell",- a blocked or runny nose - sneezing - a sore throat - a hoarse voice - a cough - feeling tired and unwell
Compartment syndrome,"Compartment syndrome is an increase in pressure inside a muscle, which restricts blood flow and causes pain. If it happens suddenly, it can be serious and need treatment as soon as possible.
You can get compartment syndrome in any muscle, but it most often affects the muscles in the lower legs and forearms. Symptoms: - pain in a muscle – this may feel like a burning pain or a deep ache (moving the body part can make the pain even worse) - swelling or bulging of the muscle - numbness, weakness or pins and needles - tightness or difficulty moving the affected body part","- pain in a muscle – this may feel like a burning pain or a deep ache (moving the body part can make the pain even worse) - swelling or bulging of the muscle - numbness, weakness or pins and needles - tightness or difficulty moving the affected body part"
Complementary and alternative medicine,"Complementary and alternative medicine (CAM) is treatment that falls outside of mainstream healthcare.
These treatments range from acupuncture and homeopathy, to aromatherapy, meditation and colonic irrigation.",
Complex regional pain syndrome,"Complex regional pain syndrome (CRPS) is a poorly understood condition where a person experiences persistent severe and debilitating pain.
Although most cases of CRPS are triggered by an injury, the resulting pain is much more severe and long-lasting than normal. Symptoms: - strange sensations in the affected limb – it may feel as if it does not belong to the rest of your body, or it may feel bigger or smaller than the opposite unaffected limb - alternating changes to your skin – sometimes your skin in the affected limb may be hot, red and dry, whereas other times it may be cold, blue and sweaty – changes to skin colour may be harder to see on brown and black skin - hair and nail changes – your hair and nails in the affected limb may grow unusually slowly or quickly and your nails may become brittle or grooved - joint stiffness and swelling in the affected limb (oedema) - tremors and muscle spasms (dystonia) - difficulty moving the affected body part - difficulty sleeping (insomnia) - small patches of fragile bones (osteoporosis) in the affected limb – although there's no evidence this could lead to fractures - skin infections and open sores (ulcers) - muscle atrophy, where the muscles begin to waste away - muscle contractures, where the muscles shorten and lose their normal range of movement","- strange sensations in the affected limb – it may feel as if it does not belong to the rest of your body, or it may feel bigger or smaller than the opposite unaffected limb - alternating changes to your skin – sometimes your skin in the affected limb may be hot, red and dry, whereas other times it may be cold, blue and sweaty – changes to skin colour may be harder to see on brown and black skin - hair and nail changes – your hair and nails in the affected limb may grow unusually slowly or quickly and your nails may become brittle or grooved - joint stiffness and swelling in the affected limb (oedema) - tremors and muscle spasms (dystonia) - difficulty moving the affected body part - difficulty sleeping (insomnia) - small patches of fragile bones (osteoporosis) in the affected limb – although there's no evidence this could lead to fractures - skin infections and open sores (ulcers) - muscle atrophy, where the muscles begin to waste away - muscle contractures, where the muscles shorten and lose their normal range of movement"
Head injury and concussion,"Most head injuries are not serious, but you should get medical help if you or your child have any symptoms after a head injury. You might have concussion (temporary brain injury) that can last a few weeks.
You or your child have had a head injury and have:",
Sudden confusion (delirium),"Sudden confusion (delirium) can have many different causes. Get medical help immediately if someone suddenly becomes confused (delirious).
If a person is confused, they may:",
Congenital heart disease,"Congenital heart disease is a general term for a range of birth defects that affect the normal way the heart works.
The term ""congenital"" means the condition is present from birth. Symptoms: - rapid heartbeat - rapid breathing - swelling of the legs, tummy or around the eyes - extreme tiredness and fatigue - a blue tinge to the skin or lips (cyanosis) - tiredness and rapid breathing when a baby is feeding","- rapid heartbeat - rapid breathing - swelling of the legs, tummy or around the eyes - extreme tiredness and fatigue - a blue tinge to the skin or lips (cyanosis) - tiredness and rapid breathing when a baby is feeding"
Developmental dysplasia of the hip,"Developmental dysplasia of the hip (DDH) is a condition where the ""ball and socket"" joint of the hip does not properly form in babies and young children.
It's sometimes called congenital dislocation of the hip, or hip dysplasia. Symptoms: - 1 leg cannot be moved out sideways as far as the other when you change their nappy - 1 leg seems to be longer than the other - 1 leg drags when they crawl - a limp or ""waddling"" walk","- 1 leg cannot be moved out sideways as far as the other when you change their nappy - 1 leg seems to be longer than the other - 1 leg drags when they crawl - a limp or ""waddling"" walk"
Conjunctivitis,"Conjunctivitis is an eye condition caused by infection or allergies. It usually gets better in a couple of weeks without treatment.
Conjunctivitis is also known as red or pink eye. Symptoms: - Wash your eyelids with clean water. Boil the water and let it cool down, then gently wipe your eyelashes with a clean cotton wool pad to clean off crusts (1 piece for each eye). - Hold a cold flannel on your eyes for a few minutes to cool them down.","- Wash your eyelids with clean water. Boil the water and let it cool down, then gently wipe your eyelashes with a clean cotton wool pad to clean off crusts (1 piece for each eye). - Hold a cold flannel on your eyes for a few minutes to cool them down."
Consent to treatment,"Consent to treatment means a person must give permission before they receive any type of medical treatment, test or examination.
This must be done on the basis of an explanation by a clinician.",
Constipation,"Constipation is where you have changes to how you poo, including not pooing as often or finding it hard to poo. It's common and it affects people of all ages. You can usually treat it with simple changes to your diet and lifestyle.
This page is about constipation in adults. There's separate information onconstipation in babies and children.",
Contact dermatitis,"Contact dermatitis is a type of eczema triggered by contact with a particular substance.
Eczema is the name for a group of conditions that cause skin to become dry and irritated.",
Continuous glucose monitoring and hybrid closed loop for diabetes,"Continuous glucose monitors and hybrid closed loop systems are technology that can help people with diabetes manage their blood glucose (sugar) levels. They're available on the NHS for some people.
A continuous glucose monitor (CGM) is a device for people withdiabetesthat lets you check your glucose (sugar) levels at any time.",
Cornea transplant,"A cornea transplant is an operation to remove all or part of a damaged cornea and replace it with healthy donor tissue.
A cornea transplant is often referred to as keratoplasty or a corneal graft.",
Corns and calluses,"Corns and calluses are hard or thick areas of skin that can be painful. They're not often serious. There are things you can try to ease them yourself.
You mostly get corns and calluses on your feet, toes and hands.",
